SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
5.900000000000000000e+01	3.633291050070230812e-03	3.585027289423644084e-03	3.541610628747637445e-03	3.501822532431073543e-03	3.465270820890935417e-03	3.431352358520375206e-03	3.399502016954578792e-03	3.369546330899501983e-03	3.341294726916754949e-03	3.314422126022369217e-03	3.288893580092930053e-03
5.800000000000000000e+01	3.785667262135422682e-03	3.735754818529115565e-03	3.690813036300535314e-03	3.649806419034544273e-03	3.611945305052872805e-03	3.576748507055750505e-03	3.543918608989596233e-03	3.512962811989905551e-03	3.483691645173711895e-03	3.455961465806527914e-03	3.429583728073154654e-03
5.700000000000000000e+01	3.933368147685870932e-03	3.881908505889099595e-03	3.835579869528695559e-03	3.793278001342736440e-03	3.754168794813300680e-03	3.717911932625847602e-03	3.683921116084505013e-03	3.652021669741064777e-03	3.621806958593282860e-03	3.593213351262750706e-03	3.565933049478721764e-03
5.600000000000000000e+01	4.080231443202596286e-03	4.027297638815660955e-03	3.979556496176818794e-03	3.935925583398554133e-03	3.895655864070581616e-03	3.858344460953397944e-03	3.823324286341565816e-03	3.790393961738069365e-03	3.759286891115415970e-03	3.729833558909026806e-03	3.701730676693752112e-03
5.500000000000000000e+01	4.226293071258683740e-03	4.171795290400217605e-03	4.122612979193673519e-03	4.077625264264959394e-03	4.036313827169627638e-03	3.997817298562549547e-03	3.961813081386387873e-03	3.927898732935647917e-03	3.895936937079651306e-03	3.865469501456959573e-03	3.836664557233845918e-03
5.400000000000000000e+01	4.371230521907083777e-03	4.315180360040489667e-03	4.264679052858294517e-03	4.218464921960179102e-03	4.175918236171361798e-03	4.136349505714256164e-03	4.099370265013596755e-03	4.064564333574738689e-03	4.031677738326696660e-03	4.000369192313484729e-03	3.970690462756705161e-03
5.300000000000000000e+01	4.514941008941501799e-03	4.457474642926204794e-03	4.405537708956928922e-03	4.358104703748416110e-03	4.314395672663927546e-03	4.273763408140985286e-03	4.235667813098573965e-03	4.199981939046251549e-03	4.166212593546343886e-03	4.134250454713966905e-03	4.103720172938989455e-03
5.200000000000000000e+01	4.657327698910166021e-03	4.598355454392778763e-03	4.545093295989844663e-03	4.496518141348841181e-03	4.451673711377163514e-03	4.409988353717688055e-03	4.371042801281237004e-03	4.334412014510839739e-03	4.299756583229728465e-03	4.266881789282080811e-03	4.235574916458025550e-03
5.100000000000000000e+01	4.798458674622347805e-03	4.737977044382130770e-03	4.683447620807158589e-03	4.633496577360582923e-03	4.587668687557457624e-03	4.544968134816597047e-03	4.505027760089227659e-03	4.467400969259152817e-03	4.431841801768868043e-03	4.398205167927824941e-03	4.366171702219505922e-03
5.000000000000000000e+01	4.938048813660242051e-03	4.876041448211063112e-03	4.820225568003244296e-03	4.769291389972679304e-03	4.722226041865418625e-03	4.678454047126755048e-03	4.637577899664057160e-03	4.599081672703726580e-03	4.562735853569905783e-03	4.528323348771113449e-03	4.495512072570291041e-03
