SZA\Ozone_column_DU	0025DU	0050DU	0075DU	0100DU	0125DU	0150DU	0175DU	0200DU	0225DU	0250DU	0275DU	0300DU	0325DU	0350DU	0375DU	0400DU	0425DU	0450DU	0475DU	0500DU	0750DU	1000DU	1500DU	2000DU	3000DU	
6.000000000000000000e+01	8.052735536200000084e-04	4.523531585900000297e-04	3.236976342102300288e-04	2.561245177119199270e-04	2.136574933326139273e-04	1.840685534595729988e-04	1.620541894086240022e-04	1.449178068013739682e-04	1.311257301699380240e-04	1.197642146033799755e-04	1.102197510551179694e-04	1.020865711322399832e-04	9.506316763590302377e-05	8.894378164860401574e-05	8.356468351267095686e-05	7.879504814691998390e-05	7.454468245402002277e-05	7.072269700428197327e-05	6.728821572446751524e-05	6.416599871418998148e-05	4.395641695676000954e-05	3.356285574236600114e-05	2.287868138411400156e-05	1.735134394000700236e-05	1.163200291789200200e-05
5.900000000000000000e+01	8.528569107600001125e-04	4.789240265760000108e-04	3.424489297266099610e-04	2.708141002341999271e-04	2.258894844023279875e-04	1.945960107162500224e-04	1.713462641065670018e-04	1.532524967077200553e-04	1.387019666552890163e-04	1.267012091967879362e-04	1.166307782525840268e-04	1.080326595361700203e-04	1.006236901197220181e-04	9.415999268711301620e-05	8.846973377542201170e-05	8.342804336357098204e-05	7.893210127471748981e-05	7.489467736593601087e-05	7.124947781194451918e-05	6.794938388957602116e-05	4.654179801643400113e-05	3.552997432519079782e-05	2.421868648137799298e-05	1.837088984655799943e-05	1.232302745454799926e-05
5.800000000000000000e+01	9.010574385700002246e-04	5.059469280929998697e-04	3.614405481914701726e-04	2.857299854049389362e-04	2.382517813073749778e-04	2.052565249648900141e-04	1.807517346739340115e-04	1.616894058811219959e-04	1.463627826463850161e-04	1.337315273425360369e-04	1.231227538289259894e-04	1.140671269460200114e-04	1.062536969308510159e-04	9.944208051514401856e-05	9.344671567981101365e-05	8.812144298131598184e-05	8.337921952403401732e-05	7.911936200984400294e-05	7.526971339501600800e-05	7.178781092769600126e-05	4.916793069198501913e-05	3.752567284775598367e-05	2.557618941723400054e-05	1.940496493429800121e-05	1.302318051160050001e-05
5.700000000000000000e+01	9.498547824200001847e-04	5.332850183510001773e-04	3.806824216407201397e-04	3.007843238811289057e-04	2.507642358424580845e-04	2.160323314653769908e-04	1.902319465591300024e-04	1.702048506621639990e-04	1.541078791189959773e-04	1.408216800980320214e-04	1.296755779417199477e-04	1.201634671208599722e-04	1.119459616238229827e-04	1.047788191377699892e-04	9.846855782914701663e-05	9.287653129941301686e-05	8.787740448044799497e-05	8.338799320893751821e-05	7.934308079338449056e-05	7.566807190682601483e-05	5.182014873243999441e-05	3.954378681032000580e-05	2.695088481626199803e-05	2.045196889406300405e-05	1.373242418323149852e-05
5.600000000000000000e+01	9.992071501500002922e-04	5.609728860639998094e-04	4.001277850254500402e-04	3.159990453716050407e-04	2.633935683279769145e-04	2.269010913759119384e-04	1.998223269489200033e-04	1.787991438737340192e-04	1.618873178498950215e-04	1.479778508730840501e-04	1.362947353374500221e-04	1.263118931978200049e-04	1.176952588268330034e-04	1.101736652311400340e-04	1.035485846560460212e-04	9.767342896933397004e-05	9.242400606970599820e-05	8.771352599718151225e-05	8.345709238085949702e-05	7.959685317245000758e-05	5.450929415966999345e-05	4.158565443197200184e-05	2.833902397927600051e-05	2.150788925084299780e-05	1.444767786598400266e-05
5.500000000000000000e+01	1.048974564349999285e-03	5.889353574839999335e-04	4.197767028576299673e-04	3.313641641689201106e-04	2.761244986700069678e-04	2.378663881138499937e-04	2.094876753253950335e-04	1.874559973955260334e-04	1.697650920189329449e-04	1.551948663217600347e-04	1.429477645537999210e-04	1.325111815414800425e-04	1.234875925015399697e-04	1.156063015559200365e-04	1.086712389031960305e-04	1.025144263342850153e-04	9.701203799213904244e-05	9.207309171694401427e-05	8.760712804623748903e-05	8.355476080466696701e-05	5.722185265535999324e-05	4.364746833647799469e-05	2.974136976480199745e-05	2.257464885032999620e-05	1.517138478040499480e-05
5.400000000000000000e+01	1.099005247040000122e-03	6.171461814919997632e-04	4.396108683278100466e-04	3.468376960332000022e-04	2.889605817031500024e-04	2.488847136205499656e-04	2.192139136893929744e-04	1.961838038854039922e-04	1.776889596111349764e-04	1.624676677468399875e-04	1.496634907560599693e-04	1.387472763567699520e-04	1.293197473463800120e-04	1.210862694556699747e-04	1.138278426203020169e-04	1.073849765470450248e-04	1.016406393144290152e-04	9.646226765614496809e-05	9.179133095461252691e-05	8.755315017018198758e-05	5.995629183368999903e-05	4.572732213352399556e-05	3.115611291427599700e-05	2.365147983811999701e-05	1.590044816689299451e-05
5.300000000000000000e+01	1.149461536219999885e-03	6.456107763480001217e-04	4.595499936565000860e-04	3.624109150546201514e-04	3.018734473629199034e-04	2.599798815921800887e-04	2.289835283942530072e-04	2.049420256553720094e-04	1.856515171179098553e-04	1.697601155128600204e-04	1.564138444399000528e-04	1.450285201621899945e-04	1.351841337549100055e-04	1.265855104361599686e-04	1.190218534899860266e-04	1.122979107881749673e-04	1.062902070056419713e-04	1.008869629348750217e-04	9.600480933340853004e-05	9.157833645952903026e-05	6.271657009596999825e-05	4.782428344092599140e-05	3.257992185496001047e-05	2.473749227083000253e-05	1.663563449702999905e-05
5.200000000000000000e+01	1.200121468340000202e-03	6.742381802220005901e-04	4.796359164463000983e-04	3.780696718952901393e-04	3.148279482788100218e-04	2.711395748714199921e-04	2.388027762005599981e-04	2.137230227877359994e-04	1.936409498086500477e-04	1.770890931737800094e-04	1.631859620880399763e-04	1.513339699322300419e-04	1.410839915284599680e-04	1.321276193426099978e-04	1.242403901631299837e-04	1.172351166801350480e-04	1.109677602604279865e-04	1.053376518884250202e-04	1.002400065023340063e-04	9.561726951500199370e-05	6.549327446013000211e-05	4.993369328091001359e-05	3.401139710451201006e-05	2.582452454443899762e-05	1.737527520024999768e-05
5.100000000000000000e+01	1.250897694899999685e-03	7.030446228049998464e-04	4.998448682995001655e-04	3.938171301880400094e-04	3.278346201106098804e-04	2.823146510897899734e-04	2.486678443195399521e-04	2.225639407546280374e-04	2.016528981806799776e-04	1.844535208123000019e-04	1.699884512447199885e-04	1.576597744849700421e-04	1.469948625846100585e-04	1.376826602449500491e-04	1.294728760531100697e-04	1.221784849532200185e-04	1.156638615723449827e-04	1.098008202989149884e-04	1.045010129441750231e-04	9.968286474904305527e-05	6.827999147985997928e-05	5.204988825823999481e-05	3.545078262727999359e-05	2.692024675561400198e-05	1.811673369643999545e-05
5.000000000000000000e+01	1.299866243479999399e-03	7.308692836900000786e-04	5.193332220381999698e-04	4.090055611423798953e-04	3.404256009270000493e-04	2.931035697314998949e-04	2.581531587690301019e-04	2.310749699594000207e-04	2.093788673073100366e-04	1.915357559063599144e-04	1.765398977710600469e-04	1.637580171017000066e-04	1.527048875853199462e-04	1.430441038189600152e-04	1.345289069528700073e-04	1.269701400093300428e-04	1.202031716097250343e-04	1.141143370304050208e-04	1.086119473954349915e-04	1.036140697180399901e-04	7.098074026079001866e-05	5.410241063697000244e-05	3.684569559605000881e-05	2.798213661714999713e-05	1.883574873176499843e-05
